Date,AAPL,IBM,MSFT,GOOG
2009-12-31,20.073631286621094,99.30300903320312,24.24198341369629,307.9868469238281
2010-01-04,20.386072158813477,100.47886657714844,24.615800857543945,311.3499755859375
2010-01-05,20.421321868896484,99.26509094238281,24.623754501342773,309.9788818359375
2010-01-06,20.09649085998535,98.62025451660156,24.472631454467773,302.1647033691406
2010-01-07,20.059337615966797,98.27886962890625,24.218124389648438,295.1304626464844
2010-01-08,20.19270133972168,99.26509094238281,24.38514518737793,299.06488037109375
2010-01-11,20.014568328857422,98.22577667236328,24.074966430664062,298.6128234863281
2010-01-12,19.786903381347656,99.00715637207031,23.915895462036133,293.3321533203125
2010-01-13,20.06600570678711,98.79474639892578,24.138591766357422,291.6481018066406
2010-01-14,19.949796676635742,100.37267303466797,24.623754501342773,293.0191955566406
2010-01-15,19.616390228271484,99.97058868408203,24.544212341308594,288.1260070800781
2010-01-19,20.48418617248535,101.76091766357422,24.735103607177734,291.9114074707031
2010-01-20,20.16888999938965,98.80992889404297,24.3294734954834,288.3296813964844
2010-01-21,19.820241928100586,97.86164855957031,23.868181228637695,289.60638427734375
2010-01-22,18.83718490600586,95.20650482177734,23.03307342529297,273.2279052734375
2010-01-25,19.343957901000977,95.67683410644531,23.31939697265625,268.2552490234375
2010-01-26,19.617345809936523,95.39615631103516,23.462553024291992,269.4574279785156
2010-01-27,19.802146911621094,95.83614349365234,23.597768783569336,269.2984619140625
2010-01-28,18.983882904052734,93.87890625,23.192134857177734,265.418701171875
2010-01-29,18.295169830322266,92.84717559814453,22.412704467773438,263.25775146484375
2010-02-01,18.54950714111328,94.57682800292969,22.59562873840332,264.7878112792969
2010-02-02,18.657150268554688,95.22924041748047,22.635404586791992,263.8439636230469
2010-02-03,18.978166580200195,95.32786560058594,22.770605087280273,268.66259765625
2010-02-04,18.294219970703125,93.30992889404297,22.142290115356445,261.6879577636719
2010-02-05,18.61904525756836,93.70442199707031,22.28545379638672,263.92840576171875
2010-02-08,18.491403579711914,92.87382507324219,22.04684829711914,265.0113525390625
2010-02-09,18.688579559326172,93.88729095458984,22.277498245239258,266.48675537109375
2010-02-10,18.58665657043457,93.5824966430664,22.2615909576416,265.4981994628906
2010-02-11,18.924821853637695,94.2835693359375,22.364988327026367,266.4668884277344
2010-02-12,19.087709426879883,94.48926544189453,22.213871002197266,264.8374938964844
2010-02-16,19.37538719177246,95.42655944824219,22.65335464477539,268.90106201171875
2010-02-17,19.29442024230957,96.26477813720703,22.845130920410156,267.36602783203125
2010-02-18,19.33061981201172,97.39254760742188,23.14876937866211,269.8548583984375
2010-02-19,19.210594177246094,96.92010498046875,22.98895263671875,268.6328125
2010-02-22,19.091524124145508,96.66101837158203,22.95699119567871,269.6462097167969
2010-02-23,18.771461486816406,96.36383819580078,22.63736915588379,265.8061828613281
2010-02-24,19.114389419555664,97.22490692138672,22.87708854675293,264.017822265625
2010-02-25,19.242027282714844,96.82868194580078,22.85311508178711,261.51409912109375
2010-02-26,19.491605758666992,96.89723205566406,22.9090518951416,261.6979064941406
2010-03-01,19.907878875732422,97.9716796875,23.1887264251709,264.6238708496094
2010-03-02,19.89454460144043,97.0953598022461,22.741247177124023,268.7818298339844
2010-03-03,19.940269470214844,96.6838607788086,22.741247177124023,270.8980712890625
2010-03-04,20.07172393798828,96.56195831298828,22.87708854675293,275.50311279296875
2010-03-05,20.85664939880371,96.96581268310547,22.845130920410156,280.28204345703125
2010-03-08,20.869028091430664,96.32573699951172,22.87708854675293,279.4226379394531
2010-03-09,21.24434471130371,95.6704330444336,23.01292610168457,278.2850341796875
2010-03-10,21.417709350585938,95.72378540039062,23.14876937866211,286.36248779296875
2010-03-11,21.48058319091797,97.2325210571289,23.316572189331055,288.69232177734375
2010-03-12,21.585365295410156,97.49163055419922,23.38848304748535,287.8974914550781
2010-03-15,21.322452545166016,97.40778350830078,23.404468536376953,279.7703552246094
2010-03-16,21.38056182861328,98.04788970947266,23.46839714050293,280.7738342285156
2010-03-17,21.34912872314453,97.35444641113281,23.676145553588867,280.9526672363281
2010-03-18,21.399616241455078,97.826904296875,23.660165786743164,281.3699645996094
2010-03-19,21.17099380493164,97.31633758544922,23.64418601989746,278.1906433105469
2010-03-22,21.409137725830078,97.5220947265625,23.652177810668945,276.94873046875
2010-03-23,21.75301742553711,98.5812759399414,23.875913619995117,272.7261657714844
2010-03-24,21.849227905273438,97.9411849975586,23.692129135131836,276.8642578125
2010-03-25,21.590129852294922,98.48222351074219,23.97979736328125,279.621337890625
2010-03-26,21.99497413635254,98.49747467041016,23.700119018554688,279.5269470214844
2010-03-29,22.13690757751465,97.98690032958984,23.64418601989746,279.40771484375
2010-03-30,22.466495513916016,98.12405395507812,23.78801727294922,281.5239562988281
2010-03-31,22.385526657104492,97.72783660888672,23.404468536376953,281.7276306152344
2010-04-01,22.477928161621094,97.72783660888672,23.300582885742188,282.56219482421875
2010-04-05,22.717979431152344,98.5660629272461,23.38848304748535,283.6600646972656
2010-04-06,22.81800651550293,98.24602508544922,23.428442001342773,282.2740783691406
2010-04-07,22.918975830078125,97.9030990600586,23.45240592956543,279.9491882324219
2010-04-08,22.857059478759766,97.24014282226562,23.907878875732422,281.91143798828125
2010-04-09,23.032325744628906,98.11644744873047,24.24348258972168,281.2805480957031
2010-04-12,23.079959869384766,97.81167602539062,24.227497100830078,284.5144958496094
2010-04-13,23.093294143676758,98.32221221923828,24.331375122070312,291.4891357421875
2010-04-14,23.403833389282227,100.01388549804688,24.62703514099121,292.596923828125
