Open,High,Low,Close,Adj Close,Volume
189.009995,189.529999,187.860001,188.149994,185.328918,20778800
186.779999,187.070007,185.100006,186.440002,183.644577,23695200
186.070007,188.460007,186,188.179993,185.358475,19183100
188,188.910004,186.360001,186.990005,184.18631,17294000
187.190002,187.809998,186.130005,186.309998,183.51651,18297700
188,189.270004,186.910004,187.630005,184.816711,18400800
188.380005,188.880005,186.779999,187.160004,184.35376,15240700
186.350006,188.5,185.759995,188.360001,185.535767,20058400
188.770004,188.839996,186.210007,188.149994,185.328918,23234000
188.229996,189.649994,187.649994,188.580002,185.752487,17461000
187.600006,188.75,186.869995,187.899994,185.082672,22514100
187.720001,188,186.779999,187.5,184.688675,18690500
187.220001,188.229996,186.139999,186.869995,184.068115,27482800
187.990005,190.259995,187.75,190.240005,187.387604,23442500
191.639999,193.419998,191.350006,191.830002,188.953751,26266200
193.070007,193.940002,192.360001,193.309998,190.41156,21566000
193.630005,194.080002,191.919998,193.979996,191.071487,20933600
194.139999,194.199997,192.339996,193.460007,190.559311,21347200
191.169998,192,189.770004,191.699997,188.825699,26656800
191.350006,191.970001,190.210007,191.229996,188.362747,18308500
191.389999,192.610001,191.149994,192.279999,189.397003,16911100
192.419998,192.880005,190.440002,190.699997,187.840683,21638400
191.550003,191.570007,190.220001,190.800003,187.939194,21610100
190.029999,190.160004,188.259995,188.839996,186.008575,61719200
187.880005,189.220001,187.199997,188.740005,185.91008,18484900
185.139999,186.330002,183.449997,185.690002,182.905807,33578500
186.350006,187.199997,185.729996,186.5,183.703659,20628700
187.25,188.350006,184.940002,185.460007,182.679245,25711900
186.119995,186.149994,184.699997,184.919998,182.147354,27200400
183.399994,184.919998,180.729996,182.169998,179.438583,31663100
182.990005,186.529999,182.539993,184.429993,181.664673,24569200
185.229996,187.279999,184.029999,184.160004,181.398743,25285300
184.100006,186.210007,183.800003,185.5,182.718643,17365200
186.289993,187.190002,182.910004,185.110001,182.334488,22737700
183.820007,187.300003,183.419998,187.179993,184.373459,17731300
187.789993,187.949997,183.539993,183.919998,181.162354,13954800
185.259995,186.410004,184.279999,185.399994,182.620163,16604200
185.419998,188.429993,185.199997,187.970001,185.151627,17485200
189.5,190.679993,189.300003,190.580002,187.722488,19756600
190.710007,191.279999,190.179993,190.350006,187.495941,15939100
188.5,189.779999,187.610001,187.880005,185.062973,18831500
189.529999,191.410004,189.309998,191.029999,188.165741,18041100
191.080002,191.839996,190.899994,191.330002,188.461243,12513900
191.520004,192.649994,190.419998,190.910004,188.047531,15043100
189.75,191.869995,189.199997,191.449997,188.579453,15534500
191.779999,191.800003,189.929993,190.399994,187.545181,16393400
189.690002,192.550003,189.690002,191.880005,189.003006,20286800
191.779999,192.429993,190.169998,191.440002,188.569595,20676200
190.679993,191.960007,189.559998,191.610001,188.73703,15989400
192.449997,193.660004,192.050003,193,190.106216,18697900
193.059998,194.850006,192.429993,194.820007,191.898926,16709900
194.610001,195.960007,193.610001,194.210007,191.29808,19076000
194.990005,195.190002,190.100006,190.979996,188.116501,24024000
191.899994,192.199997,189.070007,189.910004,187.062546,21029500
190.300003,192.139999,189.339996,190.289993,187.436829,39373000
